timestamp,local_hostname,target_hostname,target_ip,bandwidth,bandwidth_metric,avg_ping_ms
2023-04-09_22-25-13,gc-t4-10,gc-t4-1,34.171.80.70,142,Mbits/sec,157.014
2023-04-09_22-25-28,gc-t4-10,gc-t4-2,35.202.116.1,132,Mbits/sec,157.142
2023-04-09_22-25-44,gc-t4-10,gc-t4-5,104.155.15.215,75.9,Mbits/sec,253.095
2023-04-09_22-26-00,gc-t4-10,gc-t4-6,34.140.100.192,75.8,Mbits/sec,253.043
2023-04-09_22-26-16,gc-t4-10,gc-t4-11,104.155.211.90,6.58,Gbits/sec,0.763
2023-04-09_22-26-31,gc-t4-10,gc-t4-1,34.171.80.70,133,Mbits/sec,157.063
2023-04-09_22-26-46,gc-t4-10,gc-t4-2,35.202.116.1,133,Mbits/sec,157.090
2023-04-09_22-27-02,gc-t4-10,gc-t4-5,104.155.15.215,75.6,Mbits/sec,253.081
2023-04-09_22-27-18,gc-t4-10,gc-t4-6,34.140.100.192,75.7,Mbits/sec,253.064
2023-04-09_22-27-34,gc-t4-10,gc-t4-11,104.155.211.90,6.84,Gbits/sec,0.627
2023-04-09_22-27-49,gc-t4-10,gc-t4-1,34.171.80.70,132,Mbits/sec,157.096
2023-04-09_22-28-05,gc-t4-10,gc-t4-2,35.202.116.1,133,Mbits/sec,157.069
2023-04-09_22-28-20,gc-t4-10,gc-t4-5,104.155.15.215,76.3,Mbits/sec,253.185
2023-04-09_22-28-36,gc-t4-10,gc-t4-6,34.140.100.192,75.9,Mbits/sec,253.092
2023-04-09_22-28-52,gc-t4-10,gc-t4-11,104.155.211.90,6.74,Gbits/sec,0.693
2023-04-09_22-29-07,gc-t4-10,gc-t4-1,34.171.80.70,132,Mbits/sec,157.061
2023-04-09_22-29-23,gc-t4-10,gc-t4-2,35.202.116.1,133,Mbits/sec,157.042
2023-04-09_22-29-38,gc-t4-10,gc-t4-5,104.155.15.215,76.3,Mbits/sec,253.147
2023-04-09_22-29-54,gc-t4-10,gc-t4-6,34.140.100.192,75.6,Mbits/sec,253.133
2023-04-09_22-30-10,gc-t4-10,gc-t4-11,104.155.211.90,6.90,Gbits/sec,0.806
2023-04-09_22-30-25,gc-t4-10,gc-t4-1,34.171.80.70,132,Mbits/sec,157.004
2023-04-09_22-30-41,gc-t4-10,gc-t4-2,35.202.116.1,132,Mbits/sec,157.200
2023-04-09_22-30-56,gc-t4-10,gc-t4-5,104.155.15.215,76.3,Mbits/sec,253.084
2023-04-09_22-31-12,gc-t4-10,gc-t4-6,34.140.100.192,76.3,Mbits/sec,253.027
2023-04-09_22-31-28,gc-t4-10,gc-t4-11,104.155.211.90,6.87,Gbits/sec,0.699
