04_peers/peer_2_epoch,03_hivemind/per_epoch_training_samples,04_peers/peer_7_samples_accumulated,03_hivemind/global_epoch,04_peers/peer_1_epoch_oos,03_hivemind/epoch_based_sps,04_peers/peer_6_samples_per_second,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_accumulated,04_peers/peer_5_samples_accumulated,04_peers/peer_6_samples_accumulated,_runtime,04_peers/peer_4_epoch_oos,03_hivemind/estimated_current_samples,04_peers/peer_8_epoch,03_hivemind/overshot_TBS,03_hivemind/undershot_TBS,04_peers/peer_2_epoch_oos,03_hivemind/next_fetch_time_s,03_hivemind/optimistic_total_samples_per_second,03_hivemind/epoch_s,03_hivemind/num_peers,04_peers/peer_3_epoch,04_peers/peer_5_epoch,04_peers/peer_2_samples_per_second,04_peers/peer_8_samples_accumulated,03_hivemind/actual_total_samples_per_second,_timestamp,04_peers/peer_1_epoch,04_peers/peer_6_epoch,04_peers/peer_7_epoch,03_hivemind/reached_TBS,04_peers/peer_3_epoch_oos,03_hivemind/eta_next_epoch_s,_step,04_peers/peer_4_epoch,04_peers/peer_6_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_7_samples_per_second,04_peers/peer_1_samples_accumulated,03_hivemind/num_clients,04_peers/peer_5_epoch_oos,03_hivemind/total_training_samples,04_peers/peer_1_samples_per_second,04_peers/peer_5_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_2_samples_accumulated,03_hivemind/global_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_8_epoch_oos
,,,0,,,,,,,,52,,96,,,,,10.0,2.0012757267636045,,1,,,,,2.0012757267636045,1680795153.0,,,,,,16325.4,0,,,,,,,0,,,,,,,96,,
,,,0,0.0,,,,,,,53,,226,,,,,10.0,5.688446645361165,,1,,,,,5.688446645361165,1680795154.0,0.0,,,,,5720.8,1,,,,,,96.0,0,,,2.0,,,,224,,
,,,0,0.0,,,,,,,54,,385,,,,,10.0,12.459572464145158,,1,,,,,12.459572464145158,1680795155.0,0.0,,,,,2599.05,2,,,,,,224.0,0,,,5.69,,,,384,,
,,,0,0.0,,,,,,,55,,515,,,,,10.0,20.032365083541624,,1,,,,,20.032365083541624,1680795156.0,0.0,,,,,1610.05,3,,,,,,384.0,0,,,12.46,,,,512,,
,,,0,0.0,,,,,,,57,,646,,,,,10.0,29.69007120204334,,1,,,,,29.69007120204334,1680795158.0,0.0,,,,,1081.91,4,,,,,,512.0,0,,,20.03,,,,640,,
,,,0,0.0,,,,,,,58,,779,,,,,10.0,41.23046809377571,,1,,,,,41.23046809377571,1680795159.0,0.0,,,,,775.86,5,,,,,,640.0,0,,,29.69,,,,768,,
,,,0,0.0,,,,,,,59,,914,,,,,10.0,54.00101379161542,,1,,,,,54.00101379161542,1680795160.0,0.0,,,,,589.89,6,,,,,,768.0,0,,,41.23,,,,896,,
,,,0,0.0,,,,,,,60,,1065,,,,,10.0,70.16397545767568,,1,,,,,70.16397545767568,1680795161.0,0.0,,,,,451.85,7,,,,,,896.0,0,,,54.0,,,,1056,,
,,,0,0.0,,,,,,,61,,1199,,,,,10.0,81.86972601781538,,1,,,,,81.86972601781538,1680795162.0,0.0,,,,,385.6,8,,,,,,1056.0,0,,,70.16,,,,1184,,
,,,0,0.0,,,,,,,65,,1609,,,,,10.0,91.6671700448273,,1,,,,,91.6671700448273,1680795166.0,0.0,,,,,339.91,9,,,,,,1184.0,0,,,81.87,,,,1312,,
,,,0,0.0,,,,,,,69,,2164,,,,,10.0,111.62630470420923,,1,,,,,111.62630470420923,1680795170.0,0.0,,,,,274.17,10,,,,,,1312.0,0,,,91.67,,,,1792,,
,,,0,0.0,,,,,,,74,,2672,,,,,10.0,116.9212723176758,,1,,,,,116.9212723176758,1680795175.0,0.0,,,,,257.4,11,,,,,,1792.0,0,,,111.63,,,,2336,,
,,,0,0.0,,,,,,,75,,2824,,,,,10.0,117.42133168180196,,1,,,,,117.42133168180196,1680795176.0,0.0,,,,,255.01,12,,,,,,2336.0,0,,,116.92,,,,2784,,
,,,0,0.0,,,,,,,76,,2974,,,,,10.0,117.54337801974006,,1,,,,,117.54337801974006,1680795177.0,0.0,,,,,253.47,13,,,,,,2784.0,0,,,117.42,,,,2944,,
,,,0,0.0,,,,,,,77,,3124,,,,,10.0,117.47781186790094,,1,,,,,117.47781186790094,1680795178.0,0.0,,,,,252.34,14,,,,,,2944.0,0,,,117.54,,,,3104,,
,,,0,0.0,,,,,,,79,,3286,,,,,10.0,117.45858337681182,,1,,,,,117.45858337681182,1680795180.0,0.0,,,,,251.0,15,,,,,,3104.0,0,,,117.48,,,,3232,,
,,,0,0.0,,,,,,,80,,3436,,,,,10.0,117.41159457426811,,1,,,,,117.41159457426811,1680795181.0,0.0,,,,,249.82,16,,,,,,3232.0,0,,,117.46,,,,3424,,
,,,0,0.0,,,,,,,81,,3586,,,,,10.0,117.45485573991259,,1,,,,,117.45485573991259,1680795182.0,0.0,,,,,248.45,17,,,,,,3424.0,0,,,117.41,,,,3552,,
,,,0,0.0,,,,,,,83,,3736,,,,,10.0,117.48506490690691,,1,,,,,117.48506490690691,1680795184.0,0.0,,,,,247.11,18,,,,,,3552.0,0,,,117.45,,,,3712,,
,,,0,0.0,,,,,,,84,,3886,,,,,10.0,117.3247699508632,,1,,,,,117.3247699508632,1680795185.0,0.0,,,,,246.17,19,,,,,,3712.0,0,,,117.49,,,,3872,,
,,,0,0.0,,,,,,,85,,4330,,,,,10.0,156.37466511712697,,3,,,,,156.37466511712697,1680795186.0,0.0,,,,,181.86,20,,,,,,3872.0,0,,,117.32,,,,4288,,
0.0,,,0,0.0,,,128.0,,,,86,,4846,,,,0.0,10.0,206.40158224267066,,4,0.0,,22.13,,206.40158224267066,1680795187.0,0.0,,,,0.0,135.28,21,,,17.1,,,4000.0,0,,,117.14,,,160.0,4800,,
0.0,,,0,0.0,,,256.0,64.0,,,88,0.0,5568,,,,0.0,10.0,280.5955493971324,,5,0.0,,45.47,,280.5955493971324,1680795189.0,0.0,,,,0.0,96.94,22,0.0,,35.36,8.47,,4160.0,0,,,117.11,,,320.0,5504,,
0.0,,,0,0.0,,,416.0,224.0,96.0,,89,0.0,6472,,,,0.0,10.0,375.48422067100654,,7,0.0,0.0,62.86,,375.48422067100654,1680795190.0,0.0,,,,0.0,70.03,23,0.0,,57.38,31.37,,4320.0,0,0.0,,117.03,11.95,,448.0,6400,,
0.0,,32.0,0,0.0,,8.21,576.0,384.0,256.0,64.0,90,0.0,7615,,,,0.0,10.0,491.44558111246715,,8,0.0,0.0,81.27,,491.44558111246715,1680795191.0,0.0,0.0,0.0,,0.0,51.18,24,0.0,0.0,76.23,54.33,4.42,4480.0,0,0.0,,116.98,34.05,,608.0,7488,0.0,
0.0,,192.0,0,0.0,,30.69,736.0,544.0,384.0,224.0,92,0.0,8925,0.0,,,0.0,10.0,619.4804618609355,,8,0.0,0.0,94.81,32.0,619.4804618609355,1680795193.0,0.0,0.0,0.0,,0.0,38.49,25,0.0,0.0,90.39,74.5,27.99,4608.0,0,0.0,,116.94,51.98,4.14,768.0,8800,0.0,0.0
0.0,,352.0,0,0.0,,53.61,896.0,704.0,576.0,384.0,93,0.0,10190,0.0,,,0.0,10.0,717.4805645467786,,8,0.0,0.0,104.17,192.0,717.4805645467786,1680795194.0,0.0,0.0,0.0,,0.0,31.47,26,0.0,0.0,100.19,90.13,51.7,4768.0,0,0.0,,117.05,76.16,26.48,928.0,10016,0.0,0.0
0.0,,512.0,0,0.0,,74.06,1024.0,864.0,736.0,544.0,94,0.0,11478,0.0,,,0.0,10.0,797.4568653547523,,8,0.0,0.0,110.14,320.0,797.4568653547523,1680795195.0,0.0,0.0,0.0,,0.0,26.7,27,0.0,0.0,105.61,101.38,72.56,4928.0,0,0.0,,117.01,91.7,45.02,1088.0,11296,0.0,0.0
0.0,,672.0,0,0.0,,90.25,1184.0,1024.0,896.0,704.0,96,0.0,12762,0.0,,,0.0,10.0,854.3977811996476,,8,0.0,0.0,113.86,480.0,854.3977811996476,1680795197.0,0.0,0.0,0.0,,0.0,23.42,28,0.0,0.0,109.92,108.76,88.73,5088.0,0,0.0,,116.99,102.62,66.33,1248.0,12576,0.0,0.0
0.0,,832.0,0,0.0,,101.61,1344.0,1184.0,1056.0,864.0,97,0.0,14030,0.0,,,0.0,10.0,892.9421403214799,,8,0.0,0.0,116.02,640.0,892.9421403214799,1680795198.0,0.0,0.0,0.0,,0.0,20.98,29,0.0,0.0,112.66,113.54,100.15,5248.0,0,0.0,,117.0,109.87,83.55,1408.0,13824,0.0,0.0
0.0,,992.0,0,0.0,,109.47,1504.0,1344.0,1216.0,1024.0,98,0.0,15296,0.0,,,0.0,10.0,917.3094963369892,,8,0.0,0.0,117.31,800.0,917.3094963369892,1680795199.0,0.0,0.0,0.0,,0.0,19.05,30,0.0,0.0,114.25,116.53,107.75,5376.0,0,0.0,,116.98,114.56,96.1,1568.0,15104,0.0,0.0
0.0,,1152.0,0,0.0,,114.5,1664.0,1504.0,1376.0,1184.0,100,0.0,16562,0.0,,,0.0,10.0,932.206376892522,,8,0.0,0.0,117.94,960.0,932.206376892522,1680795201.0,0.0,0.0,0.0,,0.0,17.38,31,0.0,0.0,115.08,118.27,112.49,5536.0,0,0.0,,117.19,117.21,104.63,1728.0,16320,0.0,0.0
0.0,,1312.0,0,0.0,,117.28,1792.0,1632.0,1536.0,1344.0,101,0.0,17891,0.0,,,0.0,10.0,940.913033918584,,8,0.0,0.0,118.47,1120.0,940.913033918584,1680795202.0,0.0,0.0,0.0,,0.0,15.81,32,0.0,0.0,115.54,119.21,115.41,5696.0,0,0.0,,117.26,118.9,110.13,1888.0,17600,0.0,0.0
0.0,,1472.0,0,0.0,,119.05,1952.0,1824.0,1696.0,1504.0,102,0.0,19236,0.0,,,0.0,10.0,946.4724922386245,,8,0.0,0.0,118.41,1280.0,946.4724922386245,1680795203.0,0.0,0.0,0.0,,0.0,14.3,33,0.0,0.0,115.8,119.9,117.13,5856.0,0,0.0,,117.21,119.88,113.53,2016.0,18944,0.0,0.0
0.0,,1632.0,0,0.0,,120.32,2112.0,1984.0,1856.0,1696.0,104,0.0,20500,0.0,,,0.0,9.4,949.5506173874223,,8,0.0,0.0,118.54,1440.0,949.5506173874223,1680795205.0,0.0,0.0,0.0,,0.0,12.92,34,0.0,0.0,116.15,120.01,118.07,6016.0,0,0.0,,117.32,120.73,115.34,2208.0,20224,0.0,0.0
0.0,,1792.0,0,0.0,,120.88,2272.0,2144.0,2016.0,1856.0,105,0.0,21800,0.0,,,0.0,8.39,951.1164154817318,,8,0.0,0.0,118.68,1600.0,951.1164154817318,1680795206.0,0.0,0.0,0.0,,0.0,11.53,35,0.0,0.0,116.22,120.22,118.63,6176.0,0,0.0,,117.26,121.03,116.63,2368.0,21504,0.0,0.0
0.0,,1952.0,0,0.0,,121.01,2432.0,2304.0,2176.0,2016.0,106,0.0,23056,0.0,,,0.0,7.42,952.0732713179555,,8,0.0,0.0,118.83,1760.0,952.0732713179555,1680795207.0,0.0,0.0,0.0,,0.0,10.2,36,0.0,0.0,116.16,120.43,118.9,6336.0,0,0.0,,117.29,121.24,117.25,2528.0,22784,0.0,0.0
0.0,,2112.0,0,0.0,,121.25,2592.0,2464.0,2336.0,2176.0,108,0.0,24309,0.0,,,0.0,6.46,952.1586037455672,,8,0.0,0.0,118.72,1920.0,952.1586037455672,1680795209.0,0.0,0.0,0.0,,0.0,8.88,37,0.0,0.0,116.15,120.57,119.01,6496.0,0,0.0,,117.36,121.35,117.65,2688.0,24064,0.0,0.0
0.0,,2272.0,0,0.0,,121.34,2752.0,2624.0,2496.0,2336.0,109,0.0,25572,0.0,,,0.0,5.5,952.2107122852376,,8,0.0,0.0,118.55,2080.0,952.2107122852376,1680795210.0,0.0,0.0,0.0,,0.0,7.56,38,0.0,0.0,115.91,120.67,119.07,6656.0,0,0.0,,117.49,121.42,117.72,2848.0,25376,0.0,0.0
0.0,,2432.0,0,0.0,,121.37,2912.0,2784.0,2688.0,2496.0,110,0.0,26832,0.0,,,0.0,4.54,951.4580364452373,,8,0.0,0.0,118.42,2240.0,951.4580364452373,1680795211.0,0.0,0.0,0.0,,0.0,6.24,39,0.0,0.0,115.86,120.72,119.11,6816.0,0,0.0,,117.61,121.53,117.58,3008.0,26592,0.0,0.0
0.0,,2592.0,0,0.0,,121.14,3040.0,2944.0,2848.0,2656.0,112,0.0,28106,0.0,,,0.0,3.57,950.9749681583244,,8,0.0,0.0,118.18,2400.0,950.9749681583244,1680795213.0,0.0,0.0,0.0,,0.0,4.9,40,0.0,0.0,115.8,120.65,118.88,6976.0,0,0.0,,117.68,121.64,117.5,3136.0,27872,0.0,0.0
0.0,,2752.0,0,0.0,,120.97,3200.0,3104.0,3008.0,2816.0,113,0.0,29361,0.0,,,0.0,2.61,950.5003671268828,,8,0.0,0.0,118.13,2560.0,950.5003671268828,1680795214.0,0.0,0.0,0.0,,0.0,3.58,41,0.0,0.0,115.65,120.49,118.79,7136.0,0,0.0,,117.83,121.6,117.52,3296.0,29088,0.0,0.0
0.0,,2912.0,0,0.0,,121.06,3360.0,3264.0,3168.0,2976.0,114,0.0,30618,0.0,,,0.0,1.65,950.2367083282275,,8,0.0,0.0,117.98,2688.0,950.2367083282275,1680795215.0,0.0,0.0,0.0,,0.0,2.26,42,0.0,0.0,115.59,120.29,118.79,7264.0,0,0.0,,117.82,121.58,117.4,3456.0,30368,0.0,0.0
0.0,,3072.0,0,0.0,,120.98,3520.0,3424.0,3328.0,3136.0,116,0.0,31873,0.0,,,0.0,0.68,949.9220484571805,,8,0.0,0.0,117.98,2848.0,949.9220484571805,1680795217.0,0.0,0.0,0.0,,0.0,0.94,43,0.0,0.0,115.55,120.24,118.75,7424.0,0,0.0,,117.88,121.64,117.24,3616.0,31648,0.0,0.0
